Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF10-N1,Intensity DCAF10-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q86UQ4;A0A0A0MT16,Q86UQ4;A0A0A0MT16,2;2,2;2,2;2,ATP-binding cassette sub-family A member 13,ABCA13,sp|Q86UQ4|ABCAD_HUMAN ATP-binding cassette sub-family A member 13 OS=Homo sapiens OX=9606 GN=ABCA13 PE=2 SV=3;tr|A0A0A0MT16|A0A0A0MT16_HUMAN ATP-binding cassette sub-family A member 13 OS=Homo sapiens OX=9606 GN=ABCA13 PE=1 SV=1,2,2,0.8,22.9121617064616,22.7006420613836,22.6663757205658,23.7577318794091
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.03754943657932,3.97963032888006,25.4010964315382,25.3548105652978
O15440;C9JZL5;A5PKY6;F8WCY8,O15440;C9JZL5;A5PKY6;F8WCY8,2;1;1;1,2;1;1;1,2;1;1;1,Multidrug resistance-associated protein 5,ABCC5,sp|O15440|MRP5_HUMAN Multidrug resistance-associated protein 5 OS=Homo sapiens OX=9606 GN=ABCC5 PE=1 SV=2;tr|C9JZL5|C9JZL5_HUMAN Multidrug resistance-associated protein 5 (Fragment) OS=Homo sapiens OX=9606 GN=ABCC5 PE=1 SV=1;tr|A5PKY6|A5PKY6_HUMAN ABCC5 pr,2,2,1.8,4.03754943657932,3.97963032888006,24.890303935301,24.6085129284311
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,24.3765006182664,24.8781122973492,30.652154860577,30.463339894737
P55265,P55265,24,24,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,24,2,27.7,4.03754943657932,3.97963032888006,30.217201970791,29.6473075335955
Q9Y4W6;K7EP56,Q9Y4W6,3;1,2;1,2;1,AFG3-like protein 2,AFG3L2,sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,3,2,4.9,4.03754943657932,3.97963032888006,23.8906895511704,23.405744994969
O43865;H0Y8B3,O43865;H0Y8B3,6;4,6;4,2;0,Putative adenosylhomocysteinase 2;Adenosylhomocysteinase,AHCYL1;AHCYL2,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,12.1,22.2112950781189,21.8594271067849,26.6035695268123,26.3900490072837
O00170;E9PMH2,O00170;E9PMH2,2;1,2;1,2;1,AH receptor-interacting protein,AIP,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|E9PMH2|E9PMH2_HUMAN Peptidylprolyl isomerase (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2,2,2,8.8,23.723382640486,23.2237466157617,4.53479258161074,4.42757633222893
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5,2,12.6,4.03754943657932,3.97963032888006,22.7074829937707,24.4367608419954
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.03754943657932,3.97963032888006,23.3003369184145,21.8010452032896
